open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1640995200000,46216.93,47954.63,46208.37,47722.65,19604.46325,1641081599999,924155159.5834866,714899,9942.36679,468738711.7901065,0
1641081600000,47722.66,47990.0,46654.0,47286.18,18340.4604,1641167999999,866610995.5633582,709624,9166.46954,433182392.2819466,0
1641168000000,47286.18,47570.0,45696.0,46446.1,27662.0771,1641254399999,1292203508.325655,885624,13524.76045,631879430.11428,0
1641254400000,46446.1,47557.54,45500.0,45832.01,35491.4136,1641340799999,1649170424.1276133,1021815,17689.26808,821725463.0808074,0
1641340800000,45832.01,47070.0,42500.0,43451.13,51784.11857,1641427199999,2334288544.645448,1478532,23552.9946,1063287226.3571414,0
1641427200000,43451.14,43816.0,42430.58,43082.31,38880.37305,1641513599999,1674466154.4383326,1150707,19268.82662,829886561.8261453,0
1641513600000,43082.3,43145.83,40610.0,41566.48,54836.50818,1641599999999,2293851015.4652367,1406635,26519.39261,1109740200.2387211,0
1641600000000,41566.48,42300.0,40501.0,41679.74,32952.73111,1641686399999,1367233494.8277667,1021908,16462.53747,683155535.4215348,0
1641686400000,41679.74,42786.7,41200.02,41864.62,22724.39426,1641772799999,952830064.5125849,752733,11399.78979,478046850.277152,0
1641772800000,41864.62,42248.5,39650.0,41822.49,50729.17019,1641859199999,2088111339.5055964,1250983,24654.54811,1015935553.4027652,0
1641859200000,41822.49,43100.0,41268.93,42729.29,37296.43729,1641945599999,1574803608.9600787,1015526,18521.95391,782176383.1010936,0
1641945600000,42729.29,44322.0,42450.0,43902.66,33943.2928,1642031999999,1470906437.7120714,1023902,17584.31885,762205618.815565,0
1642032000000,43902.65,44500.0,42311.22,42560.11,34910.87762,1642118399999,1515944525.4954948,1036234,17175.40587,746075123.2441132,0
1642118400000,42558.35,43448.78,41725.95,43059.96,32640.88292,1642204799999,1392000443.3501675,946938,15434.18945,658472386.2432475,0
1642204800000,43059.96,43800.0,42555.0,43084.29,21936.05616,1642291199999,946488263.5484481,752688,11133.18615,480516487.1849679,0
1642291200000,43084.29,43475.0,42581.79,43071.66,20602.35271,1642377599999,887203134.0531468,732171,10052.19291,432899939.6738643,0
1642377600000,43071.66,43176.18,41540.42,42201.62,27562.08613,1642463999999,1169381684.4668436,918029,13448.54192,570690475.9728293,0
1642464000000,42201.63,42691.0,41250.0,42352.12,29324.08257,1642550399999,1228459687.3994458,905061,14527.82371,608578954.6171259,0
1642550400000,42352.12,42559.13,41138.56,41660.01,31685.72159,1642636799999,1327478459.1602297,924528,15603.74304,653807601.6725059,0
1642636800000,41660.0,43505.0,40553.31,40680.91,42330.33953,1642723199999,1784801200.404487,1098761,20201.47991,852629490.2787864,0
